BGGId,Rating,Username
227070,5.0,CharlieWonka
227070,1.0,Bigshowfan
231476,10.0,theorycraftist
231476,8.0,Rikmaster
325382,7.0,DerSchroeder
325382,7.0,ddash
325382,6.0,Hessu68
323317,8.0,fake
231457,8.0,sdiberar
231457,8.0,rseater
231457,7.8,Walt Mulder
231457,6.0,prd1982
325409,9.0,ArtfulDodger
325409,5.5,jmdsplotter
227010,8.0,oceanodeuegos
227010,4.0,Kudu
284003,6.0,pyrytus
284003,6.0,eddy_sterckx
284003,6.0,Lawster
193049,7.0,gonzo104
193049,4.0,juuzzom
284072,9.0,yetima
284072,7.5,Walt Mulder
284072,7.0,bfletcher
301541,7.0,Dathkadan
301541,5.0,oldgoat3769967
301541,4.0,TomVasel
193031,7.8,Walt Mulder
184559,8.0,Cantatta
184559,8.0,pomazid
276832,6.0,jedipanda
276832,5.0,Palaeobiologist
194974,6.0,gimli043
194974,3.0,Dirk.Krause
194966,4.0,KingRob
303635,6.0,maestriche
303635,5.0,Florian Sohns
303635,5.0,oldgoat3769967
277003,10.0,GeniusLoci
277018,5.0,akaisamurai001
277035,8.0,fake
277035,6.0,DeviantMagick
277035,6.0,TomVasel
277035,6.0,oldgoat3769967
303621,8.0,wellevorkanagawa
303621,6.0,Hessu68
303621,3.0,juuzzom
232510,5.0,TomVasel
232510,4.0,oldgoat3769967
232510,2.0,jd1403
277931,7.0,Dathkadan
219564,6.0,SeanXor
219511,6.0,kathuna
219511,4.5,william4192
219511,4.0,Hessu68
219511,3.0,kiwols
323118,8.0,stubby_jc
323118,7.0,punkin312
323118,6.0,fake
323118,5.0,TomVasel
323118,4.0,wellevorkanagawa
226330,9.0,vegamikeh
226330,6.0,79strat
276641,8.0,stormseeker75
276641,7.0,TomVasel
195158,6.0,fungus1487
195158,5.0,breakmanynecks
195158,1.0,OGRussHood
323068,6.5,nicka312
303676,5.0,Hessu68
195149,9.0,Inconmon
195149,8.0,htwongah
276669,7.0,Firedrake
276669,6.0,fibobs
195073,7.0,fake
195073,7.0,Peter The Rat
195073,6.0,kiwols
195073,6.0,kathuna
195073,5.0,Arkeo
195073,4.0,Camponotus
226356,6.0,punkin312
226356,4.0,JasonSaastad
