BGGId,ImagePath
97,https://cf.geekdo-images.com/aSc7hgWRp5j9FiIVY3jzLA__original/img/0EIDCfmlc6Dk_0YELMtEzo7C6Ng=/0x0/filters:format(jpeg)/pic901704.jpg
98,0
99,Gamemaster (Milton Bradley)
101,https://cf.geekdo-images.com/j3M3YejTD-N2p1aHTAcg2A__original/img/0eFvFeA40-uxwNolkBEaoldDn-s=/0x0/filters:format(jpeg)/pic70647.jpg
102,https://cf.geekdo-images.com/YQ29ZNsQjKyIB_fkWPViQQ__original/img/EyvOveuxihzoTOm0-AQkYCK-BaI=/0x0/filters:format(jpeg)/pic158573.jpg
103,0
104,https://cf.geekdo-images.com/Xv1NZE6mocfGb2XzpzQyPg__original/img/SzpoVQ67bkr18UCzHE04UPLK0ls=/0x0/filters:format(jpeg)/pic235375.jpg
105,Betting Trilogy (Reiner Knizia)
106,0
108,https://cf.geekdo-images.com/_yr3yRZyjdViaUiGCcBgnA__original/img/fLMpO0MgpbC7An3qQPf0joFtUB0=/0x0/filters:format(jpeg)/pic54775.jpg
109,https://cf.geekdo-images.com/R8_4_Ncj6dNmxF7MLDwOyA__original/img/AT0GO9HECPu1DH1KhyKEyTC-2Bg=/0x0/filters:format(jpeg)/pic613651.jpg
110,0
111,
112,Fantasy Flight Silver Lin
113,https://cf.geekdo-images.com/1WI-rYV9dfXJA4Krh7vpFQ__original/img/aPIIgJyuSd6MLUe-XAyXEm0nvio=/0x0/filters:format(png)/pic4659032.png
114,https://cf.geekdo-images.com/-JAu9hk32fpjPTD9VCrEKg__original/img/NANpTl5u6vlvr9WRTDeUuR0LOAg=/0x0/filters:format(jpeg)/pic236986.jpg
115,Family Games (Gryphon Games)
116,0
117,0
118,Book Box (DiceTree)
119,Fantasy Flight Silver Lin
120,Alea Big Box
121,0
122,0
124,0
125,https://cf.geekdo-images.com/zhocaVrbBmHJ-QX4TtTVmw__original/img/gbZgPgrNLWYJtYimZR9H3EYeFDw=/0x0/filters:format(jpeg)/pic1664515.jpg
126,https://cf.geekdo-images.com/0b2Q_D4JyzNA1V8RcQAtBg__original/img/zyG8PACB6MSdLTYEhPTQACzsjo8=/0x0/filters:format(jpeg)/pic2008449.jpg
127,https://cf.geekdo-images.com/l13XKWiidEahGwTL2gnW2g__original/img/QsMg0994u2R8_vnXnIV5oPpU-xA=/0x0/filters:format(jpeg)/pic328153.jpg
128,13
130,https://cf.geekdo-images.com/G4f3E6R7nrcpgtvAsYmazA__original/img/mX3kj1aYoRUx2rpjzcqTQ5xeCdM=/0x0/filters:format(jpeg)/pic3464926.jpg
132,https://cf.geekdo-images.com/8G846GWW8F4EhYmN12CsRg__original/img/qbpdApB6mZHNQcvcnE_bFOI82Iw=/0x0/filters:format(jpeg)/pic344378.jpg
133,https://cf.geekdo-images.com/UBxzacwiJwG_sFQXcxTmaw__original/img/xu4uBZTA969VqIONPrQpp7HiGyg=/0x0/filters:format(jpeg)/pic464789.jpg
134,https://cf.geekdo-images.com/d78Gf9wr4SVzu-YhSUJ_Mw__original/img/SmphqBeB8TfsB6SCVZSL31WudLg=/0x0/filters:format(jpeg)/pic607819.jpg
135,https://cf.geekdo-images.com/JyI-t2UXLqHwWZHMAtqNkw__original/img/LhzJcdZrE7bswH43ZtN52w2-7LI=/0x0/filters:format(jpeg)/pic239457.jpg
136,https://cf.geekdo-images.com/rzUEoSG6pjvYMs0nrjlMDA__original/img/ziPx4ZVfG7KEfb3ymW7C2y3L8Es=/0x0/filters:format(jpeg)/pic193282.jpg
