25821,The Werewolves of Miller's Hollow,1.3166,8,18,9.595238095238095, '13', '14', '15', '16', '17',https://cf.geekdo-images.com/gBxf-8tL9SnYglYY7dEpJA__original/img/wnY8qstdl7kDu7pTOY72gYGzaUk=/0x0/filters:format(jpeg)/pic510856.jpg,1102,21926,21926,21926,21926,21926,21926
206084,Nautilion,1.9286,1,2,11.4,42,30,15,30,10,21926,0,1,0,1,0,0,0
270836,Imperial Settlers: Roll & Write,1.8214,1,4,9.2,28,30,30,30,10,21926,0,1,0,1,0,0,0
284742,Honey Buzz,2.7391,1,4,9.636363636363637,69,90,45,90,10,21926,0,1,0,1,0,0,0
35435,Nefertiti,2.355,3,4,9.714285714285714,169,45,45,45,10,21926,0,1,0,1,0,0,0
42452,Rattus,2.059,2,4,9.0,322,45,45,45,10,21926,0,1,0,1,0,0,0
619,The Bottle Imp,1.8726,2,4,10.625,259,30,30,30,10,21926,0,1,0,1,0,0,0
631,Daytona 500,1.7723,2,4,9.5,101,70,70,70,10,21926,0,1,0,1,0,0,0
66188,Fresco,2.6364,2,4,10.48936170212766,671,60,60,60,10,21926,0,1,0,1,0,0,0
9675,La Strada,1.8438,2,4,8.0,160,30,30,30,10,21926,0,1,0,1,0,0,0
203828,"13 Minutes: The Cuban Missile Crisis,2017,1.21309,2,2,45,13,13,13,10,21926,0,1,1,0,0,0,0
237182,Root,3.7068,2,4,12.405797101449275,1228,90,60,90,10,21926,0,1,1,0,0,0,0
27048,Duel in the Dark,2.4877,1,2,11.857142857142858,203,45,45,45,10,21926,0,1,1,0,0,0,0
149241,Assault on Doomrock,3.1429,1,4,12.75,56,150,150,150,10,21926,1,0,0,0,0,0,0
199723,"UltraQuest: Gold,2016,1.44451,2,5,27,600,60,600,10,21926,1,0,0,0,0,0,0
22551,Risk: Star Wars – Original Trilogy Edition,2.1165,2,5,9.333333333333334,103,120,120,120,10,21926,1,0,0,0,0,0,0
232361,After The Virus,2.3636,1,3,10.666666666666666,44,90,30,90,10,21926,1,0,0,0,0,0,0
251420,Choose Your Own Adventure: House of Danger,1.0732,1,99,8.8,41,60,60,60,10,21926,1,0,0,0,0,0,0
69552,Panic Station,2.3333,4,6,11.857142857142858,177,40,40,40,10,21926,1,0,0,0,0,0,0
57141,"Codeword Cromwell: The German Invasion of England,2014,1.30253,1,1,20,120,120,120,10,21926,1,0,1,0,0,0,0
300531,Paleo,2.6077,1,4,10.16,130,60,45,60,10,21926,1,1,0,0,0,0,0
4491,Cave Troll,1.9785,2,4,9.066666666666666,325,60,20,60,10,21926,1,1,0,0,0,0,0
9341,Lost Valley,2.6193,3,4,10.0,218,60,60,60,10,21926,1,1,0,0,0,0,0
153064,Good Cop Bad Cop,1.26,4,8,10.2,88,558,100,20,10,21926,116,21926,0,0,0,0,0
118410,Dirty Pig,1.0448,2,6,4.956521739130435,100,67,10,10,10,21926,129,0,0,0,1,0,0
99875,Martian Dice,1.069,2,99,5.6875,301,203,10,10,10,21926,21926,0,0,0,1,0,0
13362,"Warhammer 40,2004,1.89065,2,6,134,60,60,60,10,21926,21926,0,0,1,0,0,0
3837,Rat-a-Tat Cat,1.1181,2,6,4.923076923076923,22,188,254,10,10,21926,21926,120,0,0,0,1,0
185378,"Exceed: Red Horizon – Kaden, and Lily",7.84102,5.65595,1.51355,3,20,6,20,10,21926,21926,21926,0,0,0,0,0
